Establishment Name,"City, State/Zip",FEI,Establishment Status
Central Blood Bank - D. L. Clark Building,"Pittsburgh, Pennsylvania / 15212",1000307030.0,INACTIVE
"Central Jersey Blood Center, Inc.","Eatontown, New Jersey / 07724",3008300945.0,INACTIVE
"Central Kentucky Blood Center, Inc.","Hazard, Kentucky / 41701-1712",1000136242.0,INACTIVE
Civil Defense Border Blood Bank Donor Center,"International Falls, Minnesota / 55649",2177729.0,INACTIVE
Clearwater County Memorial Donor Center,"Bagley, Minnesota / 56621",3001509704.0,INACTIVE
Community Memorial Hospital Donor Center,"Cloquet, Minnesota / 55720",2177719.0,INACTIVE
"Community Memorial Hospital, inc.","Deer River, Minnesota / 56636",2170000.0,INACTIVE
"Component Processing Laboratory, UCLA Health, Blood & Platelet Center","Los Angeles, California / 90095-1713",2074237.0,ACTIVE
Cuyuna Range District Donor Center,"Crosby, Minnesota / 56455",3001509709.0,INACTIVE
"DLP Marquette General Hospital, LLC","Escanaba, Michigan / 49829",1000306322.0,ACTIVE
DeLand & Noell Corporation,"Morgan City, Louisiana / 70380",1000520971.0,INACTIVE
DeLand & Noell Corporation,"New Iberia, Louisiana / 70560",1000306908.0,INACTIVE
DeLand & Noell Corporation,"Meridian, Mississippi / 39301",1000306906.0,INACTIVE
DeLand & Noell Corporation,"Laurel, Mississippi / 39440",1000306907.0,INACTIVE
DeLand & Noell Corporation,"Greensboro, North Carolina / 27403",1000305371.0,INACTIVE
"DeLand, Noell & Harwood Partnership","Crowley, Louisiana / 70526",1000306910.0,INACTIVE
Department of the Navy,"Boston, Massachusetts / 02118",1283786.0,INACTIVE
Distribution Center of GNYBP Good Samaritan Hospital,"Suffern, New York / 10901",2477547.0,INACTIVE
Distribution Center of GNYBP Newton Memorial Hospital,"Newton, New Jersey / 07860",2244645.0,INACTIVE
"DonoVivo, LLC","Novi, Michigan / 48377",3025612837.0,ACTIVE
Emory University,"Atlanta, Georgia / 30322",3001459672.0,INACTIVE
Eveleth Fitzgerald Community Donor Center,"Eveleth, Minnesota / 55734",2177727.0,INACTIVE
First Care Medical Services Blood Bank,"Fosston, Minnesota / 56542",2177728.0,INACTIVE
"Florida's Blood Centers, Inc.","Ft. Myers, Florida / 33901",1000307725.0,INACTIVE
"Frederick Health Hospital, Inc.","Frederick, Maryland / 21701",3033574000.0,ACTIVE
"Greyledge Technologies, LLC","Miami, Florida / 33133",3008724474.0,ACTIVE
Grifols Bio Supplies Inc.,"Memphis, Tennessee / 38134",3009460700.0,INACTIVE
Grifols Bio Supplies Inc.,"Memphis, Tennessee / 38134",3013456535.0,INACTIVE
HeMemics Biotechnologies Inc,"Rockville, Maryland / 20855",3007391312.0,INACTIVE
Hematology/Oncology Associates of Central New York,"Syracuse, New York / 13210",3000718048.0,INACTIVE
"Jensen Beach Branch Palm Beach Blood Bank, Inc.","Jensen Beach, Florida / 34957",1000114419.0,INACTIVE
Lakeview Memorial Hospital Donor Center,"Two Harbors, Minnesota / 55616",2177705.0,INACTIVE
Landmann-Jungmann Memorial Hospital Donor Center,"Scotland, South Dakota / 57059",1720868.0,INACTIVE
Lawrence Memorial Hospital Blood Bank,"Lawrence, Kansas / 66044",1972384.0,INACTIVE
