entity_id,source_file,source_record_id,company_name,address_street,address_city,address_state
ENT-000115,biopharmguy_cmos_standardized.csv,ae36e1415e6f5865,BEND BIOSCIENCE,,Clearwater,FL
ENT-000115,biopharmguy_cros_standardized.csv,ae36e1415e6f5865,BEND BIOSCIENCE,,Clearwater,FL
ENT-000116,biopharmguy_cmos_standardized.csv,4b360802440ee2db,SHL MEDICAL,,Deerfield Beach,FL
ENT-000117,biopharmguy_cmos_standardized.csv,6b18e1d39ce296b3,KLOCKE GROUP,,Fort Myers,FL
ENT-000117,biopharmguy_therapeutics_standardized.csv,6b18e1d39ce296b3,KLOCKE GROUP,,Fort Myers,FL
ENT-000118,biopharmguy_cmos_standardized.csv,01b568e22d7792ad,KINCELL BIO,,Gainesville,FL
ENT-000118,biopharmguy_cros_standardized.csv,01b568e22d7792ad,KINCELL BIO,,Gainesville,FL
ENT-000119,biopharmguy_cmos_standardized.csv,69235c1f1a811b46,ALLAY PHARMACEUTICALS,,Hialeah,FL
ENT-000119,biopharmguy_cros_standardized.csv,69235c1f1a811b46,ALLAY PHARMACEUTICALS,,Hialeah,FL
ENT-000120,biopharmguy_cmos_standardized.csv,865bdd906f826e22,DYADIC,,Jupiter,FL
ENT-000121,biopharmguy_cmos_standardized.csv,cc9996a3121656ce,ENSERA,,Lakeland,FL
ENT-000122,biopharmguy_cmos_standardized.csv,fd6793e1601cbc48,PLD PHARMA SERVICES,,Miami,FL
ENT-000123,biopharmguy_cmos_standardized.csv,2f1f79ea066cc735,PHARMALAB,,Miami Lakes,FL
ENT-000124,biopharmguy_cmos_standardized.csv,028700f289e7643f,STRUCTURE MEDICAL,,Naples,FL
ENT-000125,biopharmguy_cmos_standardized.csv,6836cfbfaa66f4e2,APIJECT,,Oakland,FL
ENT-000126,biopharmguy_cmos_standardized.csv,380643c1e3132605,ASPIRE HEALTH SCIENCE,,Orlando,FL
ENT-000127,biopharmguy_cmos_standardized.csv,7801ee7319009f8b,BIOSAFE SOLUTIONS,,Orlando,FL
ENT-000128,biopharmguy_cmos_standardized.csv,4f504274581ec968,PROFOUNDA,,Orlando,FL
ENT-000128,fda_drug_registration_standardized.csv,3011873350,Profounda Inc,"10501 S Orange Ave, STE 124",Orlando,FL
ENT-000129,biopharmguy_cmos_standardized.csv,665db306aadcdd84,PACE,,Ormond Beach,FL
ENT-000129,biopharmguy_cros_standardized.csv,665db306aadcdd84,PACE,,Ormond Beach,FL
ENT-000129,biopharmguy_cros_standardized.csv,665db306aadcdd84,PACE,,Ormond Beach,FL
ENT-000130,biopharmguy_cmos_standardized.csv,27605b378add1f48,GBI BIOMANUFACTURING,,Plantation,FL
ENT-000130,biopharmguy_cros_standardized.csv,27605b378add1f48,GBI BIOMANUFACTURING,,Plantation,FL
ENT-000131,biopharmguy_cmos_standardized.csv,cde234cec93376ad,DOT DECIMAL,,Sanford,FL
ENT-000132,biopharmguy_cmos_standardized.csv,7537630f4e9e693c,ORGANABIO,,South Miami,FL
ENT-000133,biopharmguy_cmos_standardized.csv,c2769615d29c6827,CATALENT,,St. Petersburg,FL
ENT-000133,biopharmguy_cros_standardized.csv,c2769615d29c6827,CATALENT,,St. Petersburg,FL
ENT-000134,biopharmguy_cmos_standardized.csv,fbce8bc04451828e,CARDIOCOMMAND,,Tampa,FL
ENT-000135,biopharmguy_cmos_standardized.csv,8f52fd540df12546,CATALENT,,Tampa,FL
ENT-000135,biopharmguy_cros_standardized.csv,8f52fd540df12546,CATALENT,,Tampa,FL
ENT-000136,biopharmguy_cmos_standardized.csv,64f9d16542c7781c,IMMUNOLOGIX LABORATORIES,,Tampa,FL
ENT-000136,biopharmguy_cros_standardized.csv,64f9d16542c7781c,IMMUNOLOGIX LABORATORIES,,Tampa,FL
ENT-000137,biopharmguy_cmos_standardized.csv,9dbb042724f04022,LONZA,,Tampa,FL
ENT-000137,biopharmguy_cros_standardized.csv,9dbb042724f04022,LONZA,,Tampa,FL
ENT-000137,biopharmguy_cros_standardized.csv,9dbb042724f04022,LONZA,,Tampa,FL
ENT-000138,biopharmguy_cmos_standardized.csv,15a77ce69951b5ae,AALTO SCIENTIFIC,,Eatonton,GA
ENT-000138,biopharmguy_cros_standardized.csv,15a77ce69951b5ae,AALTO SCIENTIFIC,,Eatonton,GA
ENT-000139,biopharmguy_cmos_standardized.csv,917f0d54e33573ec,BEND BIOSCIENCE,,Gainesville,GA
ENT-000139,biopharmguy_cros_standardized.csv,917f0d54e33573ec,BEND BIOSCIENCE,,Gainesville,GA
ENT-000140,biopharmguy_cmos_standardized.csv,b8f3d1bfdb64e1ff,REVVITY,,Kennesaw,GA
ENT-000140,biopharmguy_cros_standardized.csv,b8f3d1bfdb64e1ff,REVVITY,,Kennesaw,GA
ENT-000141,biopharmguy_cmos_standardized.csv,15682024751f3e26,PHARMA TECH INDUSTRIES,,Royston,GA
ENT-000141,biopharmguy_cmos_standardized.csv,15682024751f3e26,PHARMA TECH INDUSTRIES,,Royston,GA
ENT-000142,biopharmguy_cmos_standardized.csv,c1f15f8dc8f31293,DENDREON,,Union City,GA
