company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,source_file
KBI BIOPHARMA,,840711fce8e1921d,,Louisville,CO,,US,biopharmguy_cmos,https://www.kbibiopharma.com,,,,,,,,biopharmguy_cmos_standardized.csv
CIRTEC MEDICAL,,2090f29e42f8d812,,Enfield,CT,,US,biopharmguy_cmos,https://www.cirtecmed.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ACME MONACO,,cbef16f699c0fafb,,New Britain,CT,,US,biopharmguy_cmos,https://acmemonaco.com/,,,,,,,,biopharmguy_cmos_standardized.csv
TRIRX PHARMACEUTICAL SERVICES,,40fa2639323aa4d9,,Norwalk,CT,,US,biopharmguy_cmos,https://www.trirx.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BOEHRINGER INGELHEIM,,aebd7b05a6b5bc49,,Ridgefield,CT,,US,biopharmguy_cmos,https://www.boehringer-ingelheim.com/,,,,,,,,biopharmguy_cmos_standardized.csv
APIJECT,,33abd2d05371cd82,,Stamford,CT,,US,biopharmguy_cmos,https://apiject.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ENGINEERED BIOPHARMACEUTICALS,,7cd8f6e8a7eb9911,,Tolland,CT,,US,biopharmguy_cmos,http://www.engbiopharm.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CHARLES RIVER LABORATORIES,,2a20e26aacf8e3b8,,Willimantic,CT,,US,biopharmguy_cmos,https://www.criver.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ACROBIOSYSTEMS,,e5cb7e84930f4e39,,Newark,DE,,US,biopharmguy_cmos,https://acrobiosystems.com.cn/,,,,,,,,biopharmguy_cmos_standardized.csv
CHARLES RIVER LABORATORIES,,426cff2dc69a0c19,,Newark,DE,,US,biopharmguy_cmos,https://www.criver.com/,,,,,,,,biopharmguy_cmos_standardized.csv
WILMINGTON PHARMATECH,,df5d5a036bc19094,,Newark,DE,,US,biopharmguy_cmos,https://wilmingtonpharmatech.com/,,,,,,,,biopharmguy_cmos_standardized.csv
AXPLORA,,830fd5678fa0d1cb,,Wilmington,DE,,US,biopharmguy_cmos,https://www.axplora.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BIOMATIK,,9dd34d85f91aaff9,,Wilmington,DE,,US,biopharmguy_cmos,https://www.biomatik.com,,,,,,,,biopharmguy_cmos_standardized.csv
BORA CDMO,,d298d49bec558de2,,Wilmington,DE,,US,biopharmguy_cmos,https://boracdmo.com/en/,,,,,,,,biopharmguy_cmos_standardized.csv
CONFLUENT MEDICAL TECHNOLOGIES,,31836b478e6b80af,,Windham,DE,,US,biopharmguy_cmos,https://confluentmedical.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ALCHEM LABORATORIES,,1b2bfe6a7691f408,,Alachua,FL,,US,biopharmguy_cmos,https://www.alchem.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ASCEND ADVANCED THERAPIES,,b47c58df578c1574,,Alachua,FL,,US,biopharmguy_cmos,https://www.ascend-adv.com/,,,,,,,,biopharmguy_cmos_standardized.csv
EVERGEN,,0cc4b1b486af1b77,,Alachua,FL,,US,biopharmguy_cmos,https://www.evergenbio.com/,,,,,,,,biopharmguy_cmos_standardized.csv
LGM PHARMA,,b8883f2405c58bcf,,Boca Raton,FL,,US,biopharmguy_cmos,https://lgmpharma.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BEND BIOSCIENCE,,ae36e1415e6f5865,,Clearwater,FL,,US,biopharmguy_cmos,https://bendbioscience.com/,,,,,,,,biopharmguy_cmos_standardized.csv
SHL MEDICAL,,4b360802440ee2db,,Deerfield Beach,FL,,US,biopharmguy_cmos,https://www.shl-medical.com/,,,,,,,,biopharmguy_cmos_standardized.csv
KLOCKE GROUP,,6b18e1d39ce296b3,,Fort Myers,FL,,US,biopharmguy_cmos,https://www.klocke.com/,,,,,,,,biopharmguy_cmos_standardized.csv
KINCELL BIO,,01b568e22d7792ad,,Gainesville,FL,,US,biopharmguy_cmos,https://kincellbio.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ALLAY PHARMACEUTICALS,,69235c1f1a811b46,,Hialeah,FL,,US,biopharmguy_cmos,http://www.allay.us/,,,,,,,,biopharmguy_cmos_standardized.csv
DYADIC,,865bdd906f826e22,,Jupiter,FL,,US,biopharmguy_cmos,https://dyadic.com/,,,,,,,,biopharmguy_cmos_standardized.csv
